2727,5759,98,1
2728,5759,161,3
2729,5759,168,2
2730,5759,174,4
2731,5760,137,2
2732,5760,154,3
2733,5760,171,1
2734,5761,82,1
2735,5761,99,2
2736,5761,141,3
2737,5761,169,4
2738,5762,127,2
2739,5762,156,3
2740,5762,170,1
2741,5763,89,2
2742,5763,92,1
2743,5763,176,4
2744,5763,177,3
2745,5764,93,1
2746,5764,132,2
2747,5764,160,3
2748,5765,94,2
2749,5765,153,3
2750,5765,158,1
2751,5765,180,4
2752,5766,80,1
2753,5766,131,2
2754,5766,159,3
2755,5767,139,2
2756,5767,142,3
2757,5767,166,4
2758,5767,173,1
2759,5768,130,2
2760,5768,144,3
2761,5768,152,1
2762,5769,85,2
2763,5769,139,1
2764,5769,178,3
2765,5769,179,4
2766,5770,83,1
2767,5770,137,2
2768,5770,160,3
2769,5771,82,5
2770,5771,91,1
2771,5771,101,2
2772,5771,159,3
2773,5771,176,4
2774,5772,79,1
2775,5772,132,2
2776,5772,141,3
2777,5773,165,2
2778,5773,166,4
2779,5773,177,3
2780,5773,183,1
2781,5774,127,2
2782,5774,143,1
2783,5774,156,3
2784,5775,87,1
2785,5775,154,3
2786,5775,180,4
2787,5775,181,2
2788,5776,86,1
2789,5776,130,2
2790,5776,142,3
2791,5777,100,1
2792,5777,146,2
2793,5777,175,4
2794,5777,178,3
2795,5778,131,2
2796,5778,144,3
2797,5778,184,1
2798,5779,101,2
2799,5779,159,3
2800,5779,170,1
2801,5779,174,4
2802,5780,79,1
2803,5780,127,2
2804,5780,160,3
2805,5781,86,1
2806,5781,87,2
2807,5781,161,3
2808,5781,169,4
2809,5782,85,1
2810,5782,130,2
2811,5782,154,3
2812,5783,89,1
2813,5783,173,2
2814,5783,177,3
2815,5783,179,4
2816,5784,99,1
2817,5784,132,2
2818,5784,153,3
2819,5785,80,1
2820,5785,161,3
2821,5785,165,2
2822,5785,175,4
2823,5786,98,1
2824,5786,137,2
2825,5786,144,3
2826,5787,100,2
2827,5787,141,3
2828,5787,168,1
2829,5787,174,4
2830,5788,130,2
2831,5788,143,1
2832,5788,156,3
2833,5789,94,1
2834,5789,152,2
2835,5789,176,4
2836,5789,178,3
2837,5790,91,1
2838,5790,132,2
2839,5790,142,3
2840,5791,159,3
2841,5791,179,4
2842,5791,181,1
2843,5791,183,2
2844,5792,127,2
2845,5792,160,3
2846,5792,171,1
2847,5793,166,4
2848,5793,177,3
2849,5793,182,1
2850,5793,184,2
2851,5794,131,2
2852,5794,154,3
2853,5794,165,1
2854,5795,93,1
2855,5795,142,3
2856,5795,146,2
2857,5795,169,4
2858,5796,99,1
2859,5796,132,2
2860,5796,156,3
2861,5797,79,2
2862,5797,152,1
2863,5797,161,3
2864,5797,180,4
2865,5798,86,1
2866,5798,127,2
2867,5798,144,3
2868,5799,173,2
2869,5799,175,4
2870,5799,178,3
2871,5799,181,1
2872,5800,91,1
2873,5800,131,2
2874,5800,141,3
2875,5801,100,1
2876,5801,153,3
2877,5801,170,2
2878,5801,179,4
2879,5802,98,1
2880,5802,130,2
2881,5802,156,3
2882,5803,85,2
2883,5803,159,3
2884,5803,180,4
2885,5803,182,1
2886,5804,137,2
2887,5804,154,3
2888,5804,171,1
2889,5805,83,2
2890,5805,101,5
2891,5805,118,1
2892,5805,160,3
2893,5805,174,4
2894,5806,87,1
2895,5806,131,2
2896,5806,161,3
2897,5807,89,1
2898,5807,92,2
2899,5807,142,3
2900,5807,176,4
2901,5808,80,1
2902,5808,132,2
2903,5808,144,3
2904,5809,94,1
2905,5809,141,3
2906,5809,158,2
2907,5809,166,4
2908,5810,82,1
2909,5810,127,2
2910,5810,153,3
2911,5811,83,1
2912,5811,137,2
2913,5811,153,3
2914,5812,93,1
2915,5812,131,2
2916,5812,141,3
2917,5813,137,2
2918,5813,153,3
2919,5813,172,1
2920,5814,118,5
2921,5814,139,1
2922,5814,146,2
2923,5814,154,3
2924,5814,189,4
2925,5815,99,1
2926,5815,130,2
2927,5815,160,3
2928,5816,91,1
2929,5816,92,2
2930,5816,152,5
2931,5816,174,3
2932,5816,186,4
2933,5817,132,2
2934,5817,153,3
2935,5817,158,1
2936,5818,87,5
2937,5818,98,1
2938,5818,100,2
2939,5818,169,3
2940,5818,175,4
2941,5819,80,1
2942,5819,131,2
2943,5819,166,3
2944,5820,89,1
2945,5820,156,3
2946,5820,180,4
2947,5820,182,5
2948,5820,190,2
2949,5821,142,2
2950,5821,165,1
2951,5821,179,3
2952,5822,82,5
2953,5822,85,2
2954,5822,93,1
2955,5822,161,3
2956,5822,176,4
2957,5823,141,2
2958,5823,159,3
2959,5823,171,1
2960,5824,83,1
2961,5824,94,2
2962,5824,160,3
2963,5824,181,5
2964,5824,187,4
2965,5825,137,2
2966,5825,169,3
2967,5825,170,1
2968,5826,91,1
2969,5826,101,5
2970,5826,173,2
2971,5826,179,3
2972,5826,180,4
2973,5827,132,2
2974,5827,156,3
2975,5827,184,1
2976,5828,89,1
2977,5828,93,2
2978,5828,154,3
2979,5828,183,5
2980,5828,189,4
2981,5829,141,2
2982,5829,161,3
2983,5829,171,1
2984,5830,99,1
2985,5830,118,2
2986,5830,139,5
2987,5830,159,3
2988,5830,188,4
2989,5831,142,2
2990,5831,153,3
2991,5831,158,1
2992,5832,79,5
2993,5832,101,2
2994,5832,173,1
2995,5832,178,3
2996,5832,185,4
2997,5833,87,1
2998,5833,131,2
2999,5833,166,3
3000,5834,94,1
3001,5834,169,3
3002,5834,175,4
3003,5834,181,2
3004,5834,190,5
3005,5835,130,2
3006,5835,165,1
3007,5835,174,3
3008,5836,82,2
3009,5836,91,1
3010,5836,159,3
3011,5836,170,5
3012,5836,176,4
3013,5837,137,2
3014,5837,154,3
3015,5837,184,1
3016,5838,83,5
3017,5838,85,2
3018,5838,168,1
3019,5838,178,3
3020,5838,186,4
3021,5839,131,2
3022,5839,153,3
3023,5839,160,1
3024,5840,98,2
3025,5840,99,5
3026,5840,100,1
3027,5840,161,3
3028,5840,180,4
3029,5841,80,1
3030,5841,142,2
3031,5841,179,3
3032,5842,85,1
3033,5842,89,5
3034,5842,160,3
3035,5842,182,2
3036,5842,189,4
3037,5843,156,3
3038,5843,170,1
3039,5843,177,2
3040,5844,92,1
3041,5844,93,5
3042,5844,158,2
3043,5844,166,3
3044,5844,187,4
3045,5845,87,1
3046,5845,132,2
3047,5845,153,3
3048,5846,91,5
3049,5846,100,1
3050,5846,146,2
3051,5846,174,3
3052,5846,185,4
3053,5847,82,1
3054,5847,141,2
3055,5847,159,3
3056,5848,79,2
3057,5848,101,5
3058,5848,160,3
3059,5848,175,4
3060,5848,190,1
3061,5849,80,1
3062,5849,142,2
3063,5849,154,3
3064,5850,94,1
3065,5850,98,2
3066,5850,165,5
3067,5850,169,3
3068,5850,189,4
3069,5851,137,2
3070,5851,166,3
3071,5851,171,1
3072,5852,83,1
3073,5852,152,2
3074,5852,161,3
3075,5852,183,5
3076,5852,186,4
3077,5853,131,2
3078,5853,179,3
3079,5853,184,1
3080,5854,99,2
3081,5854,173,1
3082,5854,174,3
3083,5854,181,5
3084,5854,188,4
3085,5855,130,2
3086,5855,139,1
3087,5855,156,3
3088,5856,94,1
3089,5856,101,2
3090,5856,153,3
3091,5856,168,5
3092,5856,176,4
3093,5857,93,1
3094,5857,159,3
3095,5857,177,2
3096,5858,82,5
3097,5858,152,1
3098,5858,154,3
3099,5858,180,4
3100,5858,183,2
3101,5859,89,1
3102,5859,141,2
3103,5859,161,3
3104,5860,98,2
3105,5860,100,5
3106,5860,171,1
3107,5860,178,3
3108,5860,187,4
3109,5861,137,2
