87,"2016-02-14","AM","Communion"
88,"2016-03-09","PM","Prayer Day"
89,"2016-03-25","PM","Good Friday"
90,"2016-05-05","PM","Ascension Day"
91,"2016-06-12","AM","Communion"
92,"2016-11-24","AM","Thanksgiving"
93,"2016-12-25","AM","Christmas"
